"","lhs","rhs","est.std","pvalue","ci.lower","ci.upper","model.r","additional.r","pvalue_adj"
"652","brain_latent_gFA","brain_latent_cc1",0.0321673357863302,0.0727174610763406,-0.00296407030135087,0.0672987418740113,0.0758927964364482,0.000417848024934497,0.0822302913545949
"655","brain_latent_gFA","brain_latent_cc2",0.308448580478789,0,0.279333421955729,0.337563739001849,0.124736102940368,0.0492611545288546,0
"658","brain_latent_gFA","brain_latent_cc3",-0.0952005608212817,2.22044604925031e-16,-0.117986443622304,-0.0724146780202594,0.0839971584393232,0.00852221002780951,4.1895208476421e-16
"661","brain_latent_pc1","cardio_latent_agg",0.0524873182475149,7.06683048279366e-06,0.02958417686321,0.0753904596318198,0.150207415860462,0.00240038730637904,9.61473535073968e-06
"664","brain_latent_pc1","cardio_latent_gvrf",0.0459453718731968,0.000514435133400326,0.0200173484228847,0.0718733953235088,0.149245807765404,0.0014387792113213,0.000653250963048033
"667","brain_latent_pc1","cog_latent_g",-0.0452262100942657,5.007279826863e-05,-0.0670845260298542,-0.0233678941586772,0.14976591419516,0.0019588856410766,6.63215871107682e-05
"670","brain_latent_pc1","heart_latent_pc1",0.0771947618779357,2.98660899833436e-06,0.0448087561302979,0.109580767625574,0.15040244607232,0.00259541751823689,4.19173192748682e-06
"673","brain_latent_pc1","heart_latent_pc2",-0.0145621360344283,0.20224208712697,-0.0369441086669348,0.00781983659807814,0.148001620185633,0.00019459163154989,0.21401279061055
"676","brain_latent_pc1","heart_latent_pc3",-0.0139143966744038,0.206725379070298,-0.0355136842333649,0.00768489088455718,0.147997793976221,0.000190765422137917,0.217605662179261
"679","brain_latent_pc1","brain_latent_grey",-0.034854855244457,0.00942527567194151,-0.0611677175301113,-0.0085419929588027,0.14861233567118,0.000805307117096477,0.0113485453877998
"682","brain_latent_pc1","brain_latent_atrophy",-0.00631301026701438,0.645725518895376,-0.0332284897107894,0.0206024691767606,0.147832356806848,2.53282527650223e-05,0.658905982904407
"685","brain_latent_pc1","brain_latent_wmh",0.352924341050795,0,0.333142227535521,0.372706454566068,0.256483677401537,0.108676648847454,0
"688","brain_latent_pc1","brain_latent_gMD",0.977194875060849,0,0.975174925446675,0.979214824675024,0.96213185988634,0.814324831332257,0
"691","brain_latent_pc1","brain_latent_gFA",-0.80909011192863,0,-0.815882783271931,-0.802297440585328,0.753025907427533,0.60521887887345,0
"697","brain_latent_pc1","brain_latent_pc2",-0.0122189327659913,0.301545220547856,-0.0353997279248284,0.0109618623928458,0.14793477711816,0.000127748564077046,0.31410960473735
"700","brain_latent_pc1","brain_latent_pc3",0.129628947521906,0,0.10675894005811,0.152498954985702,0.162042403253634,0.0142353746995512,0
"703","brain_latent_pc1","heart_latent_cc1",0.0842384280552206,4.50851267428387e-05,0.0437691623628773,0.124707693747564,0.149789494818456,0.00198246626437293,6.03145508265401e-05
"706","brain_latent_pc1","heart_latent_cc2",-0.0962120268743622,1.26740840045159e-11,-0.124056595755492,-0.0683674579932321,0.153221111863433,0.00541408330934978,2.15729089438568e-11
"709","brain_latent_pc1","heart_latent_cc3",0.0197522622872039,0.0796020546805245,-0.00233200971518696,0.0418365342895947,0.148174589711286,0.0003675611572026,0.088446727422805
"712","brain_latent_pc1","brain_latent_cc1",0.0430012992773858,0.0124243172431959,0.00928698220561703,0.0767156163491545,0.148553763734942,0.000746735180859215,0.0148241349028093
"715","brain_latent_pc1","brain_latent_cc2",-0.374057444993284,0,-0.401092723876927,-0.347022166109642,0.220253222815099,0.0724461942610157,0
"718","brain_latent_pc1","brain_latent_cc3",0.133440558395285,0,0.111804617068566,0.155076499722004,0.164550614050311,0.0167435854962277,0
"721","brain_latent_pc2","cardio_latent_agg",0.0106841103278828,0.362954070244712,-0.0123337060191013,0.0337019266748668,0.144490611446511,9.9443336619709e-05,0.376118207507474
"724","brain_latent_pc2","cardio_latent_gvrf",0.0233134563919731,0.0790274064409655,-0.00270262414492383,0.04932953692887,0.144761614560924,0.000370446451032347,0.0883211979557395
"727","brain_latent_pc2","cog_latent_g",0.0774195810835142,3.34798855305962e-12,0.0556250805354148,0.0992140816316136,0.150131406250051,0.00574023814016,5.77239405699935e-12
"730","brain_latent_pc2","heart_latent_pc1",0.1267166376113,1.3988810110277e-14,0.0944512530558155,0.158982022166784,0.151384680786831,0.00699351267693982,2.53191133217683e-14
"733","brain_latent_pc2","heart_latent_pc2",-0.024749173854012,0.0304675389718925,-0.0471652648704009,-0.00233308283762312,0.144953209849814,0.00056204173992247,0.0358441634963441
"736","brain_latent_pc2","heart_latent_pc3",-0.00587470034622555,0.594789134490667,-0.0275216447760245,0.0157722440835734,0.144425173941705,3.40058318135661e-05,0.610040137939145
